sdk,feature,version
java-server-sdk,privateAttrs,1.0
haskell-server-sdk,privateAttrs,2.5
dotnet-server-sdk,readingFlagsFromFile,5.5
c-c--server-sdk,readingFlagsFromFile,2.6
erlang-server-sdk,readingFlagsFromFile,1.0
go-server-sdk,readingFlagsFromFile,4.4
haskell-server-sdk,readingFlagsFromFile,3.0
java-server-sdk,readingFlagsFromFile,4.5
dotnet-server-sdk,relayProxyDaemon,5.2
go-server-sdk,relayProxyDaemon,2.0
java-server-sdk,relayProxyDaemon,1.0
dotnet-server-sdk,relayProxyProxy,1.0
go-server-sdk,relayProxyProxy,2.0
java-server-sdk,relayProxyProxy,1.0
dotnet-server-sdk,secureMode,2.0
go-server-sdk,secureMode,2.0
java-server-sdk,secureMode,1.0
dotnet-server-sdk,sendingCustomEvents,1.0
apex-server-sdk,sendingCustomEvents,1.0
c-c--server-sdk,sendingCustomEvents,1.0
erlang-server-sdk,sendingCustomEvents,1.0
go-server-sdk,sendingCustomEvents,2.0
haskell-server-sdk,sendingCustomEvents,1.0
java-server-sdk,sendingCustomEvents,1.0
dotnet-server-sdk,storingData,1.0
c-c--server-sdk,storingData,1.2 (Redis)
go-server-sdk,storingData,4.5 (DynamoDB, Consul)
java-server-sdk,storingData,1.0
dotnet-server-sdk,subscribingToFlagChanges,6.0
go-server-sdk,subscribingToFlagChanges,5.0
java-server-sdk,subscribingToFlagChanges,5.0
dotnet-server-sdk,testDataSources,6.0
c-c--server-sdk,testDataSources,2.6
erlang-server-sdk,testDataSources,1.4
go-server-sdk,testDataSources,2.0
haskell-server-sdk,testDataSources,1.0
java-server-sdk,testDataSources,5.1
dotnet-server-sdk,webProxy,1.0
apex-server-sdk,webProxy,1.0
go-server-sdk,webProxy,2.0
java-server-sdk,webProxy
